id,material name,T,Mo,Ni,W,Al,Cr,Ti,Si,Cu,Fe,Co,Mn,V,Zr,Hf,Ta,Nb,dm,classification
83,Ni-50Al,1000,0,50.6,0,49.4,0,0,0,0,0,0,0,0,0,0,0,0,0.05,0
84,Ni-46.5Al-0.05Zr,1000,0,53.15,0,46.8,0,0,0,0,0,0,0,0,0.05,0,0,0,0.02,0
85,Ni-43Al-0.05Zr,1000,0,56.06,0,43.9,0,0,0,0,0,0,0,0,0.04,0,0,0,0.09,0
86,Ni-39Al-0.05Zr,1000,0,60.06,0,39.9,0,0,0,0,0,0,0,0,0.04,0,0,0,0.1,0
87,Ni-36.5Al-0.05Zr,1000,0,62.46,0,37.5,0,0,0,0,0,0,0,0,0.04,0,0,0,0.08,0
88,Ni-34Al-0.05Zr,1000,0,64.46,0,35.5,0,0,0,0,0,0,0,0,0.04,0,0,0,0.06,0
89,Ni-30Al-0.05Zr,1000,0,69.36,0,30.6,0,0,0,0,0,0,0,0,0.04,0,0,0,0.14,0
90,Ni-30Al,1000,0,68.9,0,31.1,0,0,0,0,0,0,0,0,0,0,0,0,0.07,0
91,30Al-23Cr-23Ni-23Fe,1000,0,23.26,0,30.23,23.26,0,0,0,23.26,0,0,0,0,0,0,0,0.332,0
92,18.2Ni-11Co-3.6Fe-27.3Cr-18.2Si-18.2Al-3.6Ti,1000,0,18.1818181818182,0,18.1818181818182,27.2727272727273,3.63636363636364,18.1818181818182,0,3.63636363636364,10.9090909090909,0,0,0,0,0,0,2.09,0
93,10.5Fe-26Mn-26NI-10.5Cr-26Cu,800,0,26.3,0,0,10.5,0,0,26.3,10.5,0,26.3,0,0,0,0,0,4.42,2
94,2.5Al-10.5Fe-25.5Mn-25.5NI-10.5Cr-25.5Cu,800,0,25.6,0,2.6,10.3,0,0,25.6,10.3,0,25.6,0,0,0,0,0,3.41,2
95,5Al-10Fe-26Mn-25Ni-10Cr-25Cu,800,0,25,0,5,10,0,0,25,10,0,25,0,0,0,0,0,1.53,2
96,7.5Al-10Fe-24.5Mn-24.5Ni-10Cr-24.5Cu,800,0,24.4,0,7.3,9.8,0,0,24.4,9.8,0,24.4,0,0,0,0,0,1.38,2
97,9Al-9Fe-23Mn-23Ni-9Cr-23Cu,800,0,23.8,0,9.3,9.3,0,0,23.8,9.3,0,23.8,0,0,0,0,0,1.28,2
98,20Cr-18Mn-21Fe-29Co-22Ni,900,0,20,0,0,20,0,0,0,20,20,20,0,0,0,0,0,1.61,0
